,,,,,tRun,pBrakeTotal,rPedal,vCar
22.14111519,0.343238242,0,33.71501934,,,,,
22.251091,0,100,31.76608405,,,,,
22.35804558,0,100,33.61350231,,,,,
22.46406937,0,100,33.61350231,,,,,
22.57267761,0.103447715,0,34.20404101,,,,,
22.69210052,0.398340547,0,31.9986404,,,,,
22.82693672,0.421529961,0,28.2093799,,,,,
22.97008133,0.173748594,0,25.11538346,,,,,
23.11092377,0,100,25.11538346,,,,,
23.24953461,0,100,25.93541779,,,,,
23.38261414,0,100,25.93832745,,,,,
23.50056267,0,100,28.09086841,,,,,
23.60170174,0,100,32.86903842,,,,,
23.68989944,0,100,38.22336191,,,,,
23.76895523,0,100,43.30075462,,,,,
23.84162521,0,100,47.65049594,,,,,
23.90961075,0,100,51.29238527,,,,,
23.9739418,0,100,54.46707107,,,,,
24.0352993,0,100,57.30377992,,,,,
24.09417534,0,100,59.8790178,,,,,
24.15093422,0,100,62.24427622,,,,,
24.20585632,0,100,64.43632159,,,,,
24.25916481,0,100,66.48226264,,,,,
24.31104851,0,100,68.39549582,,,,,
24.36166191,0,100,70.18717224,,,,,
24.411129,0,100,71.87500048,,,,,
24.45955658,0,100,73.47571408,,,,,
24.50761223,0,100,75.00137738,,,,,
24.55629158,0.251561797,0,74.61969891,,,,,
24.60589981,0.385207656,0,73.0826373,,,,,
24.65626717,0.289947344,0,71.86086246,,,,,
24.70729065,0.23131707,0,70.89267934,,,,,
24.75896454,0.219756973,0,70.02593427,,,,,
24.81134605,0.23267123,0,69.11712534,,,,,
24.86448288,0.241529492,0,68.15026057,,,,,
24.91839409,0.237627383,0,67.16543318,,,,,
24.97305489,0.218911602,0,66.20680128,,,,,
25.02837181,0.177411719,0,65.33323097,,,,,
25.08413887,0.104777227,0,64.65010163,,,,,
25.14003563,0,0,64.28061798,,,,,
25.19590187,0,100,64.35172006,,,,,
25.2519722,0.02179395,0,64.35294229,,,,,
25.30914497,0.297673145,0,63.88233644,,,,,
25.36836815,0.547259766,0,61.88269586,,,,,
25.43009949,0.603909688,0,59.52624709,,,,,
25.49477577,0.625018047,0,56.94627479,,,,,
25.56284523,0.625196523,0,54.2255231,,,,,
25.63479996,0.613331797,0,51.40708931,,,,,
25.71120453,0.592113828,0,48.51762896,,,,,
25.79264069,0.558090469,0,45.58999801,,,,,
25.87957573,0.503473398,0,42.7025152,,,,,
25.97203255,0.417735117,0,40.00507855,,,,,
26.06924629,0.301999043,0,37.76268494,,,,,
26.16706085,0.023370803,0,36.19988445,,,,,
26.26342392,0,100,37.3083354,,,,,
26.3593235,0,100,37.3083354,,,,,
26.45245171,0,100,37.668079,,,,,
26.53966141,0,100,39.5382664,,,,,
26.61976624,0,100,42.91025963,,,,,
26.69379807,0,100,46.84783201,,,,,
26.76627731,0,100,50.27550528,,,,,
26.8416214,0.373907969,0,48.92937561,,,,,
26.92057037,0.422894883,0,46.50263499,,,,,
27.00247383,0.301012109,0,44.56923848,,,,,
27.08601189,0.144466885,0,43.22006697,,,,,
27.16958809,0,100,42.85058332,,,,,
27.25284195,0,100,43.18123377,,,,,
27.33549309,0,100,43.18300874,,,,,
27.41585159,0,100,43.81258321,,,,,
27.49217224,0,100,45.66277208,,,,,
27.56378937,0,100,48.54788253,,,,,
27.63188553,0,100,51.84971438,,,,,
