vCar,NGear,gLong,gLat,sRun,tRun,aSteerNeutral,xCar,yCar,gSum,rPedal
35.47857078386337,1,-6.8033246994,-9.534658432,142.8824005127,11.4141426086,-8.543630064620292,-36.1793861389,31.9522380829,11.7130241394,0
32.83735318563745,1,-6.1555051804,-11.2871589661,143.8815765381,11.5274448395,-11.727712279279727,-35.2243919373,32.250164032,12.8565235138,0
30.657633097293516,1,-2.6483957767,-13.2179117203,144.8807678223,11.6447353363,-15.581857405371874,-34.2386322021,32.4191894531,13.4806232452,0
30.67754923428061,1,0.0235839244,-17.7398891449,145.8799438477,11.7619886398,-18.02915345860612,-33.240032196,32.4069480896,17.7399044037,100
30.67754923428061,1,0.5900629759,-15.6637735367,146.879119873,11.8783044815,-16.034166188426962,-32.2735977173,32.1659049988,15.6748838425,100
31.171713877988893,1,4.3297262192,-10.2437057495,147.8782958984,11.9884586334,-10.08654759546607,-31.3750801086,31.7356929779,11.1211528778,100
34.13766647646681,1,8.0886964798,-4.6340136528,148.8774719238,12.0891752243,-3.581302114118413,-30.5290164948,31.2073841095,9.3220758438,100
37.2913958718833,1,4.2227025032,3.1272354126,149.8766479492,12.1857461929,2.23018141451092,-29.7026138306,30.6464138031,5.2545995712,100
37.203556815514546,1,-2.062476635,9.8998861313,150.8758239746,12.2842493057,8.073566196119527,-28.8618373871,30.1053848267,10.1124458313,0
35.83040079415937,1,-1.3240793943,14.7220926285,151.875,12.3840274811,12.810386913788253,-27.9754447937,29.6427230835,14.7815151215,0
36.27011105955115,1,0.6150075197,17.7186698914,152.8741760254,12.4831981659,13.642976723613272,-27.026725769,29.3323192596,17.7293395996,100
36.27221219319024,1,2.1922457218,13.6094703674,153.8733673096,12.5803165436,10.559312799542694,-26.039308548,29.1904697418,13.7849054337,100
37.803087128210294,1,7.7951107025,9.3007164001,154.872543335,12.6710720062,6.28566642509676,-25.041677475,29.1689929962,12.1353645325,100
41.46611825522539,1,12.7247600555,4.1823353767,155.8717193604,12.7536077499,2.341223643235698,-24.0443077087,29.2176914215,13.3944559097,100
45.69662367538106,1,14.2197561264,-1.5796527863,156.8708953857,12.8291330338,-0.744071950043853,-23.0477237701,29.2920436859,14.3072280884,100
49.557882335534124,1,13.6874656677,-5.2538304329,157.8700714111,12.8993558884,-2.1584943102828595,-22.0496349335,29.351600647,14.661154747,100
52.88813785000971,1,12.7915611267,-5.6290721893,158.8692474365,12.9655189514,-2.0659847337571096,-21.0503730774,29.3813095093,13.975353241,100
55.84399676756258,1,12.100692749,-4.332154274,159.8684234619,13.028427124,-1.4443901327611453,-20.0508899689,29.38712883,12.8527946472,100
58.51442767569785,1,6.7168564796,-2.5020940304,160.8675994873,13.0897102356,-0.7672530775897124,-19.0516338348,29.3763656616,7.1677498817,100
58.87670842219325,1,-4.6760363579,-0.2247163206,161.8667755127,13.1521129608,-0.07313640670042165,-18.052690506,29.3568210602,4.681432724,0
56.40684307324553,1,-11.2569828033,1.7128134966,162.8659667969,13.2174520493,0.6117815356500247,-17.0539455414,29.3364772797,11.3865442276,0
53.69716697254642,1,-11.296254158,3.2034504414,163.8651428223,13.2861938477,1.2624198084586726,-16.0552692413,29.3231945038,11.7416973114,0
50.95700726911418,1,-10.8828907013,4.2427258492,164.8643188477,13.3587732315,1.8562516077112798,-15.0566987991,29.3244380951,11.6806697845,0
48.16307296546162,1,-10.6226797104,4.7862043381,165.863494873,13.4357976913,2.3435091947987865,-14.0585927963,29.3470077515,11.651140213,0
45.23705220463823,1,-10.5646286011,4.128320694,166.8626708984,13.5181684494,2.291371800151891,-13.0616865158,29.3968086243,11.3425922394,0
42.10062282902174,1,-10.4504976273,1.7096720934,167.8618469238,13.6070976257,1.0960260465549196,-12.0667514801,29.4772872925,10.5894231796,0
38.79540238967808,1,-10.0394439697,-1.4491882324,168.8610229492,13.7040719986,-1.0940636489178626,-11.0722370148,29.5732421875,10.1434993744,0
35.38991805326555,1,-9.3668003082,-4.2346429825,169.8601989746,13.8109264374,-3.8364536504208857,-10.0757074356,29.6575298309,10.2795495987,0
31.93600808163353,1,-8.509013176,-6.6088581085,170.859375,13.9299821854,-7.32322808169007,-9.0757198334,29.7002029419,10.7740573883,0
28.4903944974044,1,-7.5124783516,-8.7404766083,171.8585510254,14.0641851425,-12.054869805200719,-8.0751485825,29.662733078,11.5253314972,0
25.115383464493224,1,-5.2185029984,-10.5822439194,172.8577423096,14.2128744125,-18.402233758071652,-7.0892410278,29.4915885925,11.7990102768,0
