,,,,Lap #,Time,Velocity
2,51.31989956,49.50786712,,,,
2,51.38661051,52.35876549,,,,
2,51.4499054,55.42302504,,,,
2,51.51039934,58.1751976,,,,
2,51.56853676,60.68301038,,,,
2,51.62465239,62.99293209,,,,
2,51.67900801,65.13848472,,,,
2,51.73181677,67.1425473,,,,
2,51.78325462,69.01246005,,,,
2,51.83346462,70.77116378,,,,
2,51.88256454,72.43121723,,,,
2,51.9306531,74.00835144,,,,
2,51.97781277,75.51282487,,,,
2,52.02411652,76.95181985,,,,
2,52.06962967,78.33013601,,,,
2,52.11440802,79.65173529,,,,
2,52.15850306,80.9207307,,,,
2,52.20196009,82.14034948,,,,
2,52.24481916,83.31452609,,,,
2,52.28711557,84.44958454,,,,
2,52.32888222,85.54564842,,,,
2,52.37014866,86.60542312,,,,
2,52.41094065,87.63276757,,,,
2,52.45127869,88.63398518,,,,
2,52.49118328,89.61328509,,,,
2,52.53067207,90.57169726,,,,
2,52.56976175,91.51018299,,,,
2,52.60846901,92.42962119,,,,
2,52.64685345,93.33030024,,,,
2,52.68547344,93.99046131,,,,
2,52.72492838,92.18610255,,,,
2,52.76532078,90.05247694,,,,
2,52.80667591,87.95617735,,,,
2,52.84901428,85.90821069,,,,
2,52.89234972,83.91919251,,,,
2,52.93668985,81.99999925,,,,
2,52.98203468,80.1596397,,,,
2,53.02837372,78.40834487,,,,
2,53.07568741,76.75638009,,,,
2,53.12394476,75.21222544,,,,
2,53.17310476,73.78391467,,,,
2,53.22311544,72.4776001,,,,
2,53.27393103,71.29503955,,,,
2,53.32559729,70.20066482,,,,
2,53.37835407,68.96577506,,,,
2,53.43259764,67.32347138,,,,
2,53.48875761,65.23105133,,,,
2,53.54722023,62.7995248,,,,
2,53.60829973,60.18817283,,,,
2,53.67223883,57.53061308,,,,
2,53.73920584,54.92327798,,,,
2,53.80925798,52.44545785,,,,
2,53.88225079,50.19537038,,,,
2,53.9577589,48.30942791,,,,
2,54.03469181,46.91490006,,,,
2,54.11162663,46.54541641,,,,
2,54.18825912,46.91295342,,,,
2,54.26469803,46.9145945,,,,
2,54.34003925,47.14996266,,,,
2,54.4130249,48.28527174,,,,
2,54.48307896,50.23017298,,,,
2,54.55020905,52.40736278,,,,
2,54.6145525,54.70052692,,,,
2,54.67629051,57.04580397,,,,
2,54.73562622,59.41804557,,,,
2,54.79281044,61.75983447,,,,
2,54.84810925,63.97804788,,,,
2,54.90175629,66.04681987,,,,
2,54.95394516,67.98070047,,,,
2,55.0058527,69.79077211,,,,
2,55.0591259,68.72871775,,,,
2,55.11442375,66.23977397,,,,
2,55.17186165,63.7866456,,,,
2,55.2315464,61.39590578,,,,
2,55.2935915,59.07264256,,,,
2,55.35811234,56.81480631,,,,
2,55.42522717,54.62406557,,,,
2,55.49502563,52.50957675,,,,
2,55.56753826,50.50333065,,,,
2,55.64266968,48.6554901,,,,
2,55.72010708,47.04546903,,,,
2,55.79922962,45.80645254,,,,
2,55.87883472,45.06748523,,,,
2,55.95827484,45.25561908,,,,
2,56.03738308,45.25561908,,,,
2,56.1149807,45.6347089,,,,
2,56.18960953,47.02490745,,,,
2,56.26052666,49.32169364,,,,
2,56.3276968,52.06747696,,,,
2,56.39148235,54.97717617,,,,
2,56.45240879,57.7460857,,,,
2,56.51093292,60.2681189,,,,
2,56.56739903,62.59034528,,,,
2,56.62207508,64.74668511,,,,
2,56.67517662,66.76004486,,,,
2,56.72720623,68.64312059,,,,
2,56.77960491,69.55042577,,,,
2,56.83374119,67.67232822,,,,
2,56.89003658,65.14384742,,,,
2,56.94870758,62.5783084,,,,
