vCar,gLong,gLat,sRun,tRun,IDraw,RInternal,rSoc,ECapacity,QCellDischarge,VCell,VBattery,xCar,yCar
96.23186957822433,0,3.2909715176,529.8229370117,22.8039741516,144.9221038818,0.1398198903,0.9419890046,6998.2446289062,0,0,552.0147705078,-9377352,5170776.5
96.23186957822433,0,3.3908238411,534.8212280273,22.9909591675,144.9236602783,0.1398368478,0.9414091706,6993.9370117188,0,0,552.0088500977,-9377353,5170771.5
96.23186957822433,0,1.7773835659,539.8195800781,23.1779460907,144.9252166748,0.1398538202,0.9408293366,6989.6293945312,0,0,552.0029296875,-9377354,5170767
96.23186957822433,0,-1.2966656685,544.8179321289,23.3649311066,144.9267730713,0.1398707777,0.9402495027,6985.3212890625,0,0,551.9969482422,-9377355,5170762
96.23186957822433,0,-4.6565771103,549.8162231445,23.5519161224,144.9283294678,0.1398877501,0.9396696687,6981.013671875,0,0,551.991027832,-9377355,5170757
96.23186957822433,0,-6.3943424225,554.8145751953,23.7389011383,144.9298858643,0.1399047077,0.9390898347,6976.7060546875,0,0,551.9851074219,-9377356,5170752
96.23186957822433,0,-4.6812739372,559.8128662109,23.9258880615,144.9314422607,0.1399216801,0.9385099411,6972.3979492188,0,0,551.9791870117,-9377357,5170747
96.23186957822433,-4.9003071785,0.3302743137,564.8112182617,24.119764328,0,0.1399386376,0.9385099411,6972.3979492188,0,0,590.0484008789,-9377359,5170742.5
89.39149190216648,-11.980884552,4.3235249519,569.8095703125,24.3341655731,0,0.1399386376,0.9385099411,6972.3979492188,0,0,590.0484008789,-9377360,5170737.5
78.46125772667381,-13.4773988724,2.3466086388,574.8078613281,24.5814495087,0,0.1399386376,0.9385099411,6972.3979492188,0,0,590.0484008789,-9377361,5170732.5
67.07212499226,-11.0586452484,-4.4105067253,579.8062133789,24.8706550598,0,0.1399386376,0.9385099411,6972.3979492188,0,0,590.0484008789,-9377362,5170727.5
57.364894751564194,-5.1487631798,-10.7963762283,584.8045654297,25.1873970032,0,0.1399386376,0.9385099411,6972.3979492188,0,0,590.0484008789,-9377363,5170723
56.25440789263368,0.444840461,-16.1679992676,589.8028564453,25.5013847351,144.3946075439,0.1399386376,0.9375650883,6965.3784179688,0,0,552.0921020508,-9377365,5170718.5
