a0,a1,a2,a3,a4,p0,p1,p2,p3,p4,v_final,maxSlip
32.3333333333333,481,-1590,2074.66666666666,-927.999999999998,32.3333333333333,82,76.6666666666667,80.3333333333333,70,7.90989750219257,0.478544792955114
33.6666666666667,378.333333333333,-1115.33333333333,1402.66666666666,-629.333333333332,33.6666666666667,78,80,82.6666666666667,70,7.90624493883718,0.489529058013688
32.3333333333333,422.777777777777,-1350.88888888889,1758.22222222222,-785.777777777776,32.3333333333333,78,76.6666666666667,82.6666666666667,76.6666666666667,7.90193557842579,0.474395265497973
32.3333333333333,458.555555555555,-1429.55555555555,1740.44444444444,-721.777777777776,32.3333333333333,82,76.6666666666667,78,80,7.90104094276021,0.47697349064896
31,492.111111111111,-1621.11111111111,2110.22222222222,-942.22222222222,31,82,76.6666666666667,80.3333333333333,70,7.89953815601802,0.461064773340727
33.6666666666667,355.888888888889,-954.888888888888,1068.44444444444,-423.11111111111,33.6666666666667,78,80,80.3333333333333,80,7.89735873403452,0.487957781400925
32.3333333333333,389.444444444444,-1146.44444444444,1438.22222222222,-643.555555555554,32.3333333333333,78,80,82.6666666666667,70,7.89589417778636,0.472047748206405
31,433.888888888888,-1382,1793.77777777777,-799.999999999998,31,78,76.6666666666667,82.6666666666667,76.6666666666667,7.8915818745281,0.45691479008212
31,469.666666666666,-1460.66666666666,1776,-735.999999999998,31,82,76.6666666666667,78,80,7.8906851352283,0.459493301771184
32.3333333333333,367,-985.999999999999,1104,-437.333333333333,32.3333333333333,78,80,80.3333333333333,80,7.88701139814401,0.470476399998121
33.6666666666667,415,-1344.22222222222,1776,-807.111111111109,33.6666666666667,78,76.6666666666667,82.6666666666667,73.3333333333333,7.88687221719903,0.492109583451834
33.6666666666667,450.777777777777,-1422.88888888889,1758.22222222222,-743.11111111111,33.6666666666667,82,76.6666666666667,78,76.6666666666667,7.88618589772659,0.494687714529363
31,400.555555555555,-1177.55555555555,1473.77777777777,-657.777777777776,31,78,80,82.6666666666667,70,7.88554553832073,0.45456699817109
31,378.111111111111,-1017.11111111111,1139.55555555555,-451.555555555555,31,78,80,80.3333333333333,80,7.87666605143679,0.452995459399547
32.3333333333333,426.111111111111,-1375.33333333333,1811.55555555555,-821.333333333332,32.3333333333333,78,76.6666666666667,82.6666666666667,73.3333333333333,7.87651606732275,0.47462837957136
32.3333333333333,461.888888888888,-1454,1793.77777777777,-757.333333333332,32.3333333333333,82,76.6666666666667,78,76.6666666666667,7.87582636594561,0.477206602079805
33.6666666666667,359.222222222222,-979.333333333333,1121.77777777778,-458.666666666666,33.6666666666667,78,80,80.3333333333333,76.6666666666667,7.87216108911609,0.488190888744984
31,437.222222222222,-1406.44444444444,1847.11111111111,-835.555555555554,31,78,76.6666666666667,82.6666666666667,73.3333333333333,7.86616201453216,0.457147930851627
31,473,-1485.11111111111,1829.33333333333,-771.555555555554,31,82,76.6666666666667,78,76.6666666666667,7.86546904596274,0.459726438649124
32.3333333333333,370.333333333333,-1010.44444444444,1157.33333333333,-472.888888888888,32.3333333333333,78,80,80.3333333333333,76.6666666666667,7.86181271741477,0.470709518303215
33.6666666666667,418.333333333333,-1368.66666666666,1829.33333333333,-842.666666666665,33.6666666666667,78,76.6666666666667,82.6666666666667,70,7.86131581734879,0.492342688419645
33.6666666666667,454.111111111111,-1447.33333333333,1811.55555555555,-778.666666666666,33.6666666666667,82,76.6666666666667,78,73.3333333333333,7.86074948855444,0.494920818159193
33.6666666666667,395.888888888889,-1208.22222222222,1495.11111111111,-636.444444444444,33.6666666666667,78,76.6666666666667,80.3333333333333,80,7.85242116471654,0.490771422653959
31,381.444444444444,-1041.55555555555,1192.88888888889,-487.11111111111,31,78,80,80.3333333333333,76.6666666666667,7.85146629326923,0.453228606310371
32.3333333333333,429.444444444444,-1399.77777777778,1864.88888888889,-856.888888888887,32.3333333333333,78,76.6666666666667,82.6666666666667,70,7.85095876195509,0.47486149339956
32.3333333333333,465.222222222222,-1478.44444444444,1847.11111111111,-792.888888888888,32.3333333333333,82,76.6666666666667,78,73.3333333333333,7.85038883145372,0.477439713274007
33.6666666666667,362.555555555555,-1003.77777777778,1175.11111111111,-494.222222222221,33.6666666666667,78,80,80.3333333333333,73.3333333333333,7.84671877928614,0.488423995948702
