a0,a1,a2,a3,a4,p1,p2,p3,p4,v_final,maxSlip
33.75,363.125,-967.374999999998,1056.375,-399.374999999999,33.75,81.5,80,86.5,8.01514309574517,0.489623182224466
31.25,339.25,-799.624999999999,796.499999999999,-282.375,31.25,81.5,82.25,85,8.01492949255894,0.45367699666086
32.5,357.875,-917.499999999999,975.374999999998,-362.249999999999,32.5,81.5,80.75,86,8.01323729222829,0.472123796932355
32.5,327.5,-780.812499999999,793.124999999998,-286.312499999999,32.5,80.75,82.25,86,8.01307140654558,0.469963906670189
30,350.625,-835.124999999999,840.374999999999,-300.375,30,81.5,82.25,85.5,8.01144351383256,0.437354020063523
32.5,341.25,-832.124999999999,850.499999999999,-307.125,32.5,81.5,81.5,85,8.01115175489617,0.470946038340123
33.75,359.875,-949.999999999999,1029.375,-386.999999999999,33.75,81.5,80,86,8.00965594997261,0.48939323675886
33.75,329.5,-813.312499999999,847.124999999998,-311.062499999999,33.75,80.75,81.5,86,8.00965125486091,0.487233439366366
33.75,299.125,-676.624999999999,664.874999999999,-235.124999999999,33.75,80,83,86,8.00899412084938,0.485073630077299
33.75,332.75,-830.687499999999,874.124999999998,-323.437499999999,33.75,80.75,81.5,86.5,8.0085554997884,0.487463386063244
33.75,312.875,-727.937499999999,722.249999999999,-255.9375,33.75,80.75,82.25,85,8.00794295057559,0.486055723823081
31.25,352.625,-867.624999999999,894.374999999999,-325.125,31.25,81.5,81.5,85.5,8.0077030976237,0.454624906500283
33.75,343.25,-864.624999999999,904.499999999999,-331.874999999999,33.75,81.5,80.75,85,8.00737153985396,0.488215527631692
32.5,330.75,-798.187499999999,820.124999999999,-298.687499999999,32.5,80.75,82.25,86.5,8.00484512221618,0.470193863718292
32.5,324.25,-763.437499999999,766.124999999999,-273.9375,32.5,80.75,82.25,85.5,8.004426525703,0.469733949377337
32.5,320.625,-747.562499999999,749.249999999998,-268.312499999999,32.5,80.75,83,86.5,8.00431866464793,0.469476010587581
32.5,354.625,-900.124999999999,948.374999999999,-349.874999999999,32.5,81.5,80.75,85.5,8.00395703951616,0.471893841905612
30,367.25,-920.499999999999,965.249999999998,-355.499999999999,30,81.5,81.5,86.5,8.00380713291187,0.438532112319971
30,364,-903.124999999999,938.249999999998,-343.124999999999,30,81.5,81.5,86,8.00319276774304,0.438302092541824
31.25,369.25,-952.999999999998,1019.25,-380.249999999999,31.25,81.5,80.75,86.5,8.0031645554473,0.455802789634147
32.5,371.25,-985.499999999998,1073.25,-404.999999999999,32.5,81.5,80,86.5,8.00139378793665,0.473071595473948
30,347.375,-817.749999999999,813.374999999999,-288,30,81.5,82.25,85,8.00136316000965,0.43712399800984
