a0,a1,a2,a3,a4,p1,p2,p3,p4,v_final,maxSlip
20,530,-1525,1620,-585,20,80,60,60,6.76761036714396,0.3127669491326
20,325,-725,675,-225,20,70,70,70,6.76137308898603,0.298086406020312
20,120,74.9999999999993,-269.999999999999,135,20,60,80,80,6.7575997712871,0.283401747690699
20,525,-1747.5,2160,-877.499999999998,20,70,60,80,6.74890952951327,0.312307849075259
17,549.5,-1568.5,1660.5,-598.5,17,80,60,60,6.73501968780165,0.27362617759128
17,344.5,-768.5,715.499999999999,-238.5,17,70,70,70,6.72884874135081,0.258069002243435
17,139.5,31.4999999999994,-229.499999999999,121.5,17,60,80,80,6.72518610139825,0.243362864059459
17,544.5,-1791,2200.5,-890.999999999998,17,70,60,80,6.71630756124247,0.273062940023675
14,569,-1612,1701,-611.999999999999,14,80,60,60,6.70244468945556,0.234989466314676
14,364,-812,756,-252,14,70,70,70,6.69633883572451,0.217937881490297
14,159,-12.0000000000007,-188.999999999999,108,14,60,80,80,6.69278915258649,0.203209393433002
14,564,-1834.5,2241,-904.499999999998,14,70,60,80,6.68372073968558,0.234425329605312
11,588.5,-1655.5,1741.5,-625.499999999999,11,80,60,60,6.66988564535782,0.19622685410484
11,383.5,-855.5,796.5,-265.5,11,70,70,70,6.66384382507214,0.178767997947061
11,178.5,-55.5000000000006,-148.499999999999,94.4999999999997,11,60,80,80,6.66040496331607,0.162938587311125
11,583.5,-1878,2281.5,-917.999999999998,11,70,60,80,6.6511486125674,0.19566173809512
8,608,-1699,1782,-638.999999999999,8,80,60,60,6.63734126892383,0.158848677701819
8,403,-899,837,-279,8,70,70,70,6.63136821817526,0.139834380586379
8,198,-99.0000000000006,-107.999999999999,80.9999999999997,8,60,80,80,6.62803163593767,0.122554876450051
8,603,-1921.5,2322,-931.499999999998,8,70,60,80,6.61859083232123,0.158175521781448
20,260,-377.5,135.000000000001,22.4999999999998,20,70,70,60,6.54300453428081,0.293469892029111
20,55.0000000000003,422.499999999998,-809.999999999998,382.499999999999,20,60,80,70,6.53982763882133,0.278783923064674
20,460,-1400,1620,-629.999999999999,20,70,60,70,6.53070459471477,0.307692589528386
20,255,-600,675,-270,20,60,70,80,6.5252360925624,0.293010637593197
17,279.5,-421,175.5,8.99999999999986,17,70,70,60,6.51051482149319,0.253445737665741
17,74.5000000000003,378.999999999998,-769.499999999998,368.999999999999,17,60,80,70,6.50741614358272,0.238738217694624
